A:char(25)	B:char(25)	C:int	D:int
South_Dakota	West_Virginia	6	3
Connecticut	Delaware	8	8
New_Hampshire	Kansas	2	1
Connecticut	Puerto_Rico	4	9
Montana	District_of_Columbia	2	8
Vermont	West_Virginia	8	6
New_Hampshire	District_of_Columbia	6	6
Kentucky	Singapore	1	0
Connecticut	Indiana	2	8
Delaware	Singapore	8	6
Colorado	Connecticut	9	0
Vermont	Puerto_Rico	3	3
Puerto_Rico	Business	0	4
Indiana	West_Virginia	1	5
Business	Vermont	0	4
Nevada	Oklahoma	0	7
Nevada	District_of_Columbia	8	3
Puerto_Rico	Indiana	2	1
Montana	District_of_Columbia	6	9
South_Dakota	Singapore	2	0
North_Dakota	Singapore	4	2
Colorado	District_of_Columbia	0	6
Oklahoma	Oklahoma	7	1
Delaware	Vermont	3	9
Montana	Colorado	6	1
Business	Nevada	4	0
North_Dakota	Kentucky	9	5
Connecticut	Oklahoma	1	6
Colorado	New_Hampshire	3	1
Nevada	Kentucky	9	9
Nevada	West_Virginia	2	5
Oklahoma	Puerto_Rico	2	7
West_Virginia	Kentucky	3	2
Connecticut	Puerto_Rico	7	5
Puerto_Rico	West_Virginia	5	1
Indiana	Montana	2	6
Idaho	District_of_Columbia	3	5
Oklahoma	Connecticut	3	3
Arkansas	Kentucky	0	7
South_Dakota	Nevada	2	3
Idaho	Delaware	8	9
Montana	Connecticut	2	4
Delaware	North_Dakota	7	0
Arkansas	Connecticut	1	1
Idaho	Arkansas	5	7
Oklahoma	Kentucky	6	7
District_of_Columbia	Connecticut	6	6
Vermont	West_Virginia	9	0
Singapore	South_Dakota	3	7
Vermont	District_of_Columbia	2	3
Idaho	Colorado	6	4
Indiana	Colorado	5	1
Connecticut	Delaware	0	3
Montana	Vermont	8	8
New_Hampshire	Kansas	5	9
New_Hampshire	Idaho	2	1
Business	Montana	6	1
Colorado	District_of_Columbia	4	9
Oklahoma	Montana	8	1
South_Dakota	Colorado	9	5
Business	Singapore	2	1
Business	Arkansas	1	5
Kentucky	Puerto_Rico	2	3
Business	Delaware	3	1
Puerto_Rico	Nevada	3	6
Kansas	District_of_Columbia	6	4
North_Dakota	Delaware	4	6
Indiana	Puerto_Rico	3	6
New_Hampshire	Kentucky	1	9
Montana	North_Dakota	9	4
Colorado	South_Dakota	3	3
Idaho	Connecticut	0	5
New_Hampshire	North_Dakota	2	9
Singapore	Idaho	3	0
West_Virginia	Arkansas	5	5
Kentucky	Colorado	2	1
Vermont	North_Dakota	8	5
West_Virginia	Vermont	9	5
North_Dakota	South_Dakota	4	7
Connecticut	Oklahoma	1	5
North_Dakota	Singapore	8	0
Delaware	Nevada	1	9
Vermont	Singapore	6	4
Idaho	Kentucky	5	8
Puerto_Rico	Nevada	5	7
Idaho	Idaho	7	6
Idaho	Oklahoma	3	4
New_Hampshire	Puerto_Rico	7	8
Nevada	West_Virginia	1	2
Nevada	Montana	6	2
North_Dakota	Business	9	9
Kentucky	Kentucky	9	0
Arkansas	Montana	3	2
Arkansas	District_of_Columbia	2	8
Montana	Connecticut	2	6
New_Hampshire	Colorado	1	4
Arkansas	North_Dakota	1	1
Connecticut	South_Dakota	7	8
District_of_Columbia	Delaware	2	3
Oklahoma	Kansas	5	5
Colorado	Nevada	7	1
Idaho	New_Hampshire	2	4
Puerto_Rico	West_Virginia	0	1
West_Virginia	Kentucky	6	1
North_Dakota	Nevada	3	9
Vermont	Colorado	1	4
New_Hampshire	Oklahoma	9	3
Vermont	Vermont	6	1
Montana	Indiana	2	1
New_Hampshire	Colorado	5	8
Colorado	Idaho	6	9
Connecticut	Kentucky	0	4
District_of_Columbia	Business	1	4
Kansas	Puerto_Rico	7	9
Nevada	Montana	5	0
South_Dakota	Montana	8	1
Connecticut	Business	4	4
New_Hampshire	Montana	2	8
Colorado	Idaho	5	2
Delaware	Kansas	1	1
North_Dakota	Oklahoma	7	4
District_of_Columbia	West_Virginia	4	4
Kentucky	Oklahoma	1	5
South_Dakota	Indiana	2	8
South_Dakota	Delaware	3	1
Oklahoma	Nevada	2	5
Idaho	New_Hampshire	9	1
Oklahoma	South_Dakota	0	3
Kansas	Puerto_Rico	5	2
Business	Delaware	0	9
Indiana	New_Hampshire	0	2
New_Hampshire	Montana	5	7
Business	South_Dakota	0	6
Indiana	District_of_Columbia	7	7
Colorado	Puerto_Rico	8	8
Nevada	Connecticut	8	3
West_Virginia	West_Virginia	0	0
Montana	Puerto_Rico	1	1
Oklahoma	Arkansas	3	6
North_Dakota	Idaho	7	0
South_Dakota	Kansas	7	8
Singapore	Business	3	2
Nevada	Montana	7	9
Nevada	Colorado	3	4
Indiana	Arkansas	7	7
West_Virginia	Indiana	0	5
Vermont	Montana	2	5
New_Hampshire	Delaware	3	4
Singapore	Kentucky	9	8
Idaho	Kansas	3	6
Kentucky	Kansas	0	5
South_Dakota	Oklahoma	5	4
Puerto_Rico	Colorado	7	9
Singapore	Vermont	9	9
District_of_Columbia	Montana	7	2
West_Virginia	Kentucky	3	9
Singapore	Delaware	0	2
Indiana	Singapore	5	0
Arkansas	New_Hampshire	4	5
Idaho	Puerto_Rico	3	2
West_Virginia	Arkansas	3	8
Idaho	Singapore	1	6
Connecticut	Montana	0	6
Montana	District_of_Columbia	3	0
Connecticut	New_Hampshire	4	8
Business	West_Virginia	2	1
West_Virginia	Arkansas	8	3
South_Dakota	Delaware	9	5
Singapore	Business	1	8
District_of_Columbia	Arkansas	2	1
Delaware	Puerto_Rico	6	3
Indiana	Indiana	6	7
Oklahoma	Colorado	0	3
South_Dakota	Singapore	1	3
Connecticut	West_Virginia	0	5
Vermont	Montana	9	0
Business	Arkansas	8	6
South_Dakota	Montana	8	0
South_Dakota	Connecticut	7	7
South_Dakota	Nevada	5	5
Puerto_Rico	Arkansas	8	0
Puerto_Rico	North_Dakota	7	9
New_Hampshire	Nevada	6	5
Montana	South_Dakota	7	4
Vermont	Singapore	7	4
New_Hampshire	Colorado	4	9
Kentucky	Puerto_Rico	6	6
Business	Singapore	9	9
North_Dakota	Kentucky	2	8
North_Dakota	Business	3	9
Vermont	New_Hampshire	2	8
Arkansas	South_Dakota	3	5
District_of_Columbia	District_of_Columbia	3	6
Nevada	West_Virginia	4	3
South_Dakota	Nevada	9	5
Colorado	Connecticut	3	6
Business	Connecticut	4	8
Arkansas	Arkansas	7	5
New_Hampshire	Connecticut	2	5
